AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
5912,14440,3536,-1365,-3487,7540,702,-10488,-4078,2863,1378,-5853,-2022,-2310,5194,134,-819,1112,5.06,435,2203,80.6
1814,11230,3254,-1270,-5603,8885,3500,-9756,-5116,2406,295,-6707,-1880,-2518,5864,228,-565,918,5.06,440,2227,80.6
-2764,6826,2822,-759,-3967,11800,4812,-5008,-4870,2215,276,-6709,-2774,-2920,6284,220,-369,657,5.08,381,1938,80.6
7370,5360,-1340,-2830,-2048,5833,4572,-3836,-4444,2581,-23,-6762,-2490,-3696,7200,147,-180,420,5.07,425,2157,80.7
5648,-392,-2326,-3264,1897,6329,4524,990,-3914,3269,-1460,-5309,-2386,-2480,7584,43,-151,290,5.08,376,1913,80.7
2910,-2088,-1530,-3527,1202,6800,5778,3256,-3178,3022,612,-4946,-2528,-2084,6958,10,49,318,5.08,425,2161,80.7
3960,-3554,-2194,-3374,3336,5126,6436,4518,-2476,3760,994,-3947,-2202,-1958,6998,10,149,402,5.07,435,2207,80.8
1818,-7774,-2806,-2643,-13,5039,5938,8370,-2598,2191,2217,-2041,-1724,-1932,6752,5,154,443,5.08,381,1938,80.8
3902,-8694,-2862,-2237,-408,3749,6076,9462,-858,733,1845,-1268,-1346,-1964,6310,5,39,474,5.07,420,2132,80.8
3836,-10662,-3294,-1525,779,193,6686,9288,232,-1333,86,314,-1102,-2042,5820,-27,87,366,5.07,371,1885,80.9
5406,-10308,-2346,-1296,3311,-1906,6564,8544,1008,-2112,242,1444,-1204,-2184,5522,-63,85,181,5.07,425,2157,80.9
4282,-11304,-3202,124,3981,-2064,6548,6972,1056,-2404,213,3137,-1378,-2464,5408,-98,162,0,5.07,430,2182,80.9
3680,-9566,-2406,1812,-535,-2847,5306,4648,218,-3076,488,5368,-1568,-2590,5810,-166,298,-284,5.08,371,1888,81
4074,-8062,-2528,2560,-689,-3903,4036,3346,-126,-3673,442,6051,-1692,-2568,5962,-193,402,-421,5.07,430,2182,81
3030,-5906,-2242,3536,-772,-5964,2450,-228,-1002,-4965,-100,6228,-1768,-2318,6014,-243,600,-602,5.08,371,1888,81.1
3050,-3916,-2042,4161,-700,-6713,1942,-3314,-1414,-5553,-583,5953,-1668,-2374,6094,-292,678,-694,5.07,430,2182,81.1
3424,-1008,-1792,4614,372,-7384,1452,-6692,-2436,-5698,-1731,5318,-1394,-2218,6426,-331,690,-779,5.06,440,2227,81.1
3230,6888,-738,4724,781,-7266,3180,-13566,-5638,-4367,-3074,4439,-1428,-2112,6710,-370,602,-817,5.08,381,1938,81.2
4144,12620,-52,3734,192,-7101,7374,-17912,-8604,-2906,-2407,4956,-1540,-2140,7542,-349,672,-858,5.07,430,2182,81.2
5842,16830,1090,2149,938,-7473,5204,-14670,-7854,-5686,6872,-3552,-1336,-1486,9290,-243,638,-866,5.07,430,2182,81.2
6062,23136,2012,587,-876,-4518,896,-25430,-10872,-76,183,4673,-1486,126,11592,12,194,-716,5.08,376,1913,81.3
7020,25758,2678,-17,-947,-2897,3228,-20212,-10372,586,-2308,2596,-1756,750,11310,77,-234,-386,5.06,435,2203,81.3
7992,25646,3088,63,-737,-512,2984,-22332,-10224,312,-4573,320,-1986,658,9828,154,-558,14,5.07,425,2157,81.3
7954,22846,4426,466,-1878,3340,6304,-18764,-7368,1950,-2731,-2807,-2108,-384,7496,202,-937,618,5.08,386,1963,81.4
9190,20320,4044,55,-2383,4799,2566,-16272,-5880,2822,1144,-3593,-2126,-1080,6554,225,-1004,793,5.07,420,2132,81.4
7344,15810,2380,-1197,-3339,6464,2880,-12284,-5716,3254,1215,-5936,-2202,-1752,5372,212,-821,903,5.08,371,1888,81.5
7930,12946,1964,-1716,-1612,7034,2274,-10520,-5274,3622,258,-6119,-2472,-2022,5560,212,-456,965,5.07,450,2281,81.5
6078,9810,1720,-2780,-3856,5931,2092,-8088,-4982,3516,-2794,-6569,-1856,-2464,7094,224,-326,865,5.07,420,2132,81.5
4104,4860,-944,-3001,-5600,7130,4886,-4810,-4456,4334,996,-5830,-2422,-2486,7350,184,-123,671,5.08,391,1988,81.6
7028,2724,-2482,-3537,-177,4614,3176,-2842,-4080,5043,-549,-5380,-2438,-2330,7072,168,-60,483,5.08,420,2137,81.6
5414,350,-2322,-4082,1055,4552,4434,1000,-4788,5044,-200,-4711,-2418,-2552,6710,139,75,487,5.07,425,2157,81.6
5220,-3402,-3090,-4240,2217,4973,6674,3796,-3822,6115,1148,-3144,-2192,-2254,6884,69,173,613,5.08,376,1913,81.7
4890,-4902,-3516,-4377,2655,3359,6940,7040,-3318,5002,1209,-2397,-1768,-2286,6804,40,188,620,5.07,425,2157,81.7
